arm,extractor_mode,auc,ci_lo,ci_hi
full,combined,0.6528,0.5975,0.7178
uniform,combined,0.5000,0.5000,0.5000
always_hedged,combined,0.5000,0.5000,0.5000
threshold_only,combined,0.7151,0.6812,0.7549
full,logit,0.4101,0.3662,0.4537
uniform,logit,0.5000,0.5000,0.5000
always_hedged,logit,0.5000,0.5000,0.5000
threshold_only,logit,0.5692,0.5434,0.5963
full,consistency,0.6606,0.6038,0.7270
uniform,consistency,0.5000,0.5000,0.5000
always_hedged,consistency,0.5000,0.5000,0.5000
threshold_only,consistency,0.7304,0.6965,0.7700
