arm,extractor_mode,category,empirical_acc,nominal,n
full,combined,HEDGE_LOW,0.7941,0.3,306
full,combined,HEDGE_HIGH,0.9682,0.6,660
full,combined,ASSERT,0.9424,0.9,590
uniform,combined,ASSERT,0.9063,0.9,1729
always_hedged,combined,HEDGE_LOW,0.9019,0.3,1722
threshold_only,combined,HEDGE_LOW,0.7596,0.3,183
threshold_only,combined,HEDGE_HIGH,0.7938,0.6,325
threshold_only,combined,ASSERT,0.9564,0.9,1215
full,logit,HEDGE_LOW,0.7676,0.3,185
full,logit,HEDGE_HIGH,0.9634,0.6,737
full,logit,ASSERT,0.8039,0.9,765
uniform,logit,ASSERT,0.8650,0.9,1682
always_hedged,logit,HEDGE_LOW,0.8720,0.3,1688
threshold_only,logit,HEDGE_HIGH,0.7327,0.6,202
threshold_only,logit,ASSERT,0.8845,0.9,1480
full,consistency,HEDGE_LOW,0.7736,0.3,265
full,consistency,HEDGE_HIGH,0.9685,0.6,666
full,consistency,ASSERT,0.9453,0.9,622
uniform,consistency,ASSERT,0.8975,0.9,1737
always_hedged,consistency,HEDGE_LOW,0.9069,0.3,1719
threshold_only,consistency,HEDGE_LOW,0.7737,0.3,190
threshold_only,consistency,HEDGE_HIGH,0.7300,0.6,300
threshold_only,consistency,ASSERT,0.9582,0.9,1245
